Sample_ID,Analysis_Run,Sample_Type,Tree_Number,Depth,TIMESTAMP,del_O,del_D
JW__T1001,LGR21-10_JWA,Soil,1,0,7/8/21 6:45,68.40919169,-64.97271732
JW__T1101,LGR21-10_JWA,Soil,1,10,7/8/21 6:45,53.2435715,-74.1299085
JW__T1201,LGR21-10_JWA,Soil,1,20,7/8/21 6:45,3.743867246,31.36633784
JW__T1301,LGR21-10_JWA,Soil,1,30,7/8/21 6:45,-8.938160391,195.3860002
JW__T1401,LGR21-10_JWA,Soil,1,40,7/8/21 6:45,-5.751227658,-48.41566379
JW__T1501,LGR21-10_JWA,Soil,1,50,7/8/21 6:45,-2.036619453,-82.92316605
JW__T1601,LGR21-10_JWA,Soil,1,60,7/8/21 6:45,-8.520219209,-72.08075846
JW__T1002,LGR21-10_JWA,Soil,1,0,7/11/21 6:30,49.31630327,-39.30043033
JW__T1102,LGR21-10_JWA,Soil,1,10,7/11/21 6:30,60.88624034,-59.11707978
JW__T1202,LGR21-10_JWA,Soil,1,20,7/11/21 6:30,13.35652451,11.0028271
JW__T1302,LGR21-10_JWA,Soil,1,30,7/11/21 6:30,-9.682013727,163.6128823
JW__T1402,LGR21-10_JWA,Soil,1,40,7/11/21 6:30,-4.317540212,-45.21243422
JW__T1502,LGR21-10_JWA,Soil,1,50,7/11/21 6:30,-4.810264439,-78.27078522
JW__T1602,LGR21-10_JWA,Soil,1,60,7/11/21 6:30,-12.09944875,-83.78870515
JW__T1003,LGR21-10_JWA,Soil,1,0,7/14/21 6:30,40.95281611,-49.3303779
JW__T1103,LGR21-10_JWA,Soil,1,10,7/14/21 6:30,53.89470941,-61.48095164
JW__T1203,LGR21-10_JWA,Soil,1,20,7/14/21 6:30,11.60282499,20.43216343
JW__T1303,LGR21-10_JWA,Soil,1,30,7/14/21 6:30,-18.11960257,103.6009889
JW__T1403,LGR21-10_JWA,Soil,1,40,7/14/21 6:30,-16.67399889,-43.96326164
JW__T1503,LGR21-10_JWA,Soil,1,50,7/14/21 6:30,-6.539793348,-83.31984262
JW__T1603,LGR21-10_JWA,Soil,1,60,7/14/21 6:30,-11.3066889,-80.51006076
JW__T1004,LGR21-10_JWA,Soil,1,0,7/18/21 6:30,-15.79215754,182.6879398
JW__T1104,LGR21-10_JWA,Soil,1,10,7/18/21 6:30,-12.64638349,65.27062545
JW__T1204,LGR21-10_JWA,Soil,1,20,7/18/21 6:30,-7.965425602,-25.95049311
JW__T1304,LGR21-10_JWA,Soil,1,30,7/18/21 6:30,-3.220091308,-19.53422623
JW__T1404,LGR21-10_JWA,Soil,1,40,7/18/21 6:30,-4.813898354,-12.03601384
JW__T1504,LGR21-10_JWA,Soil,1,50,7/18/21 6:30,-3.23813473,-18.93095532
JW__T1604,LGR21-10_JWA,Soil,1,60,7/18/21 6:30,-5.102815185,-32.88149295
JW__T1005,LGR21-10_JWA,Soil,1,0,7/21/21 7:00,-8.374857352,133.1676391
JW__T1105,LGR21-10_JWA,Soil,1,10,7/21/21 7:00,-7.530803716,31.61885887
JW__T1205,LGR21-10_JWA,Soil,1,20,7/21/21 7:00,4.116525755,-16.16050827
JW__T1305,LGR21-10_JWA,Soil,1,30,7/21/21 7:00,-13.33308495,43.23830222
JW__T1405,LGR21-10_JWA,Soil,1,40,7/21/21 7:00,-16.16777364,11.7209039
JW__T1505,LGR21-10_JWA,Soil,1,50,7/21/21 7:00,-17.51884997,-47.24512406
JW__T1605,LGR21-10_JWA,Soil,1,60,7/21/21 7:00,-10.51858249,-37.17647144
JW__T2001,LGR21-10_JWA,Soil,2,0,7/8/21 7:15,77.30397816,-65.65130784
JW__T2101,LGR21-10_JWA,Soil,2,10,7/8/21 7:15,72.62151068,-79.79200559
JW__T2201,LGR21-10_JWA,Soil,2,20,7/8/21 7:15,45.07310608,-42.14521772
JW__T2301,LGR21-10_JWA,Soil,2,30,7/8/21 7:15,-9.126881959,199.540104
JW__T2401,LGR21-10_JWA,Soil,2,40,7/8/21 7:15,-7.026960699,7.042328718
JW__T2501,LGR21-10_JWA,Soil,2,50,7/8/21 7:15,-4.730040596,-23.39312409
JW__T2601,LGR21-10_JWA,Soil,2,60,7/8/21 7:15,-1.771767235,-32.06180047
JW__T2002,LGR21-10_JWA,Soil,2,0,7/11/21 7:00,40.57923905,-47.88443169
JW__T2102,LGR21-10_JWA,Soil,2,10,7/11/21 7:00,18.62419445,-80.40508857
JW__T2202,LGR21-10_JWA,Soil,2,20,7/11/21 7:00,-9.986596779,9.189837437
JW__T2302,LGR21-10_JWA,Soil,2,30,7/11/21 7:00,-13.34962933,170.7177465
JW__T2402,LGR21-10_JWA,Soil,2,40,7/11/21 7:00,-8.400506765,-38.10429138
JW__T2502,LGR21-10_JWA,Soil,2,50,7/11/21 7:00,1.020032213,-46.78608225
