Tree,Date_Collected,Area_cm2,Mass_g,Notes,
1,7/8/21,289.525,5.8278,,
2,7/8/21,239.03,4.3658,contained some dried leaves,
3,7/8/21,182.387,3.8626,,
4,7/8/21,381.976,8.5578,,
5,7/8/21,104.605,2.3118,contained one yellow leaf that fell off,
6,7/8/21,163.6,3.6369,,
NaN,7/9/21,11.411,NaN,,
1,7/10/21,13.864,NaN,,
3,7/10/21,12.584,NaN,,
5,7/10/21,18.784,NaN,,
1,7/11/21,144.855,3.023,,
2,7/11/21,167.301,3.3181,,
3,7/11/21,108.455,2.739,,
4,7/11/21,271.737,5.6737,,
5,7/11/21,196.248,4.7894,,
6,7/11/21,136.869,3.2583,,
1,7/12/21,65.944,NaN,,
1,7/12/21,14.479,NaN,,
2,7/12/21,16.197,NaN,,
3,7/12/21,20.566,NaN,,
4,7/12/21,15.271,NaN,,
5,7/12/21,15.168,NaN,,
6,7/12/21,19.672,NaN,,
1,7/14/21,132.672,2.5711,,
2,7/14/21,273.482,5.37,*missing AM leaves,
3,7/14/21,310.978,6.4248,,
4,7/14/21,132.669,3.1132,,
5,7/14/21,187.014,4.1865,,
6,7/14/21,293.865,6.4633,*AM leaves from 2 mixed in,
1,7/15/21,92.722,NaN,,
2,7/15/21,66.61,NaN,,
3,7/15/21,97.987,NaN,,
4,7/15/21,73.166,NaN,,
5,7/15/21,61.751,NaN,,
6,7/15/21,69.223,NaN,,
NaN,7/15/21,164.31,NaN,,
1,7/16/21,113.957,NaN,,
2,7/16/21,128.286,NaN,,
3,7/16/21,527.953,NaN,,
4,7/16/21,98.259,NaN,,
5,7/16/21,144.169,NaN,,
6,7/16/21,44.83,NaN,,
NaN,7/16/21,2638.679,NaN,,
1,7/16/21,16.031,,End of day collection,
2,7/16/21,325.444,,End of day collection,
3,7/16/21,555.577,,End of day collection,
4,7/16/21,82.617,,End of day collection,
5,7/16/21,147.065,,End of day collection,
6,7/16/21,65.304,,End of day collection,
NaN,7/16/21,4355.599,,End of day collection,
NaN,7/17/21,5437.771,,Morning collection,
1,7/17/21,82.345,,Afternoon collection,
2,7/17/21,151.887,,Afternoon collection,
3,7/17/21,114.472,,Afternoon collection,
4,7/17/21,86.862,,Afternoon collection,
5,7/17/21,57.083,,Afternoon collection,
6,7/17/21,29.341,,Afternoon collection,
NaN,7/17/21,3583.797,,Afternoon collection,
1,7/17/21,31.307,,End of Day Collection,
2,7/17/21,28.578,,End of Day Collection,
3,7/17/21,190.913,,End of Day Collection,
4,7/17/21,19.47,,End of Day Collection,
5,7/17/21,122.76,,End of Day Collection,
6,7/17/21,5.751,,End of Day Collection,
NaN,7/17/21,2569.451,,End of Day Collection,
1,7/18/21,158.695,,Collected over whole day,
2,7/18/21,475.895,,Collected over whole day,
3,7/18/21,466.651,,Collected over whole day,
4,7/18/21,394.051,,Collected over whole day,
5,7/18/21,178.133,,Collected over whole day,
6,7/18/21,186.324,,Collected over whole day,
NaN,7/18/21,7191.25,,Collected over whole day,
NaN,7/19/21,4044.188,,Morning collection,
NaN,7/22/21,812.202,,End of Day Collection,
6,7/22/21,34.003,,End of Day Collection,
4,7/22/21,42.414,,End of Day Collection,
3,7/22/21,50.715,,End of Day Collection,
NaN,7/22/21,2180.271,,AM collection,
NaN,7/20/21,2403.214,,End of Day Collection,
4,7/20/21,193.813,,end of Day Collection,
6,7/20/21,161.612,,end of Day Collection,
5,7/20/21,243.82,,end of Day Collection,
3,7/20/21,259.208,,end of Day Collection,
2,7/20/21,282.653,,end of Day Collection,
1,7/20/21,48.894,,end of Day Collection,
NaN,7/20/21,5977.563,,afternoon collection,
NaN,7/21/21,15471.65,,morning collection,
NaN,7/23/21,728.564,,morning collection,
NaN,7/20/21,15614.912,,morning collection,
NaN,7/19/21,4767.652,,afternoon collection,
3,7/19/21,289.38,,afternoon collection,
2,7/19/21,179.71,,afternoon collection,
6,7/19/21,27.391,,afternoon collection,
1,7/19/21,59.933,,afternoon collection,
4,7/19/21,190.559,,afternoon collection,
5,7/19/21,226.096,,afternoon collection,
6,7/21/21,835.545,,end of Day Collection,
5,7/21/21,801.447,,end of Day Collection,
4,7/21/21,749.629,,end of Day Collection,
3,7/21/21,649.364,,end of Day Collection,
2,7/21/21,480.233,,end of Day Collection,
1,7/21/21,708.83,,end of Day Collection,
NaN,7/21/21,3028.514,,end of Day Collection,
NaN,7/24/21,954.498,,noon collection,
1,7/24/21,77.474,,noon collection,
5,7/24/21,27.332,,noon collection,
NaN,7/26/21,807.505,,morning collection,
NaN,7/27/21,164.546,,morning collection,
NaN,7/28/21,53.831,,morning collection,
NaN,7/27/21,191.181,,end of day collection,
NaN,7/28/21,232.586,,afternoon collection,
NaN,7/30/21,132.865,,morning collection,
NaN,7/29/21,190.83,,morning collection,
NaN,8/4/21,264.975,,midday collection,
NaN,8/2/21,593.622,,midday collection,
NaN,8/6/21,308.738,,,
NaN,8/5/21,226.387,,,
NaN,8/10/21,206.803,,,
NaN,8/16/21,83.378,,,
NaN,8/17/21,5.792,,,
NaN,8/25/21,37.232,,,
NaN,8/20/21,78.555,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
