SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,21,6800-12A 3x3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Const,CustomBLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTConst,deltaTw,fT1,fT2,fTeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQConst,Leaf,Ambient,abs_ambient,abs_redLED,abs_greenLED,abs_blueLED,abs_whiteLED,abs_redFlr,abs_blueFlr,k_ambient,k_redLED,k_greenLED,k_blueLED,k_whiteLED,k_redFlr,k_blueFlr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,Sun+Sky,0.49,0.84,0.7,0.87,0.75,0.84,0.87,0.39,0.18,0.23,0.26,0.21,0.19,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QConst,fQ_Amb_in,fQ_Amb_out,fQ_HeadLS,fQ_ConsoleLS,fQ_Flr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeakConst,fan_a,fan_b,fan_c,fan_d,Fs_meas,Fs_true,leak_wt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-6276,6.6,0.00001709,3.11,3.24185 86.0269 389.639 622.076 862.715 1042.85 1241.66 1401.67,0.115704 99.7893 401.201 600.776 800.003 1000.9 1199.73 1400.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sys,Sys,Sys,Sys,UserDefVar,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,Leak,Leak,Leak,Leak,Leak,LeafQ,LeafQ,LeafQ,LeafQ,Const,Const,Const,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,HeadLS,HeadLS,HeadLS,HeadLS,HeadLS,Match,Match,Match,Match,Match,Match,Match,Match,Match,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
obs,time,elapsed,date,tree_number,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,_Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,_CO2:MN,_CO2:SLP,_CO2:SD,_CO2:OK,_H2O:MN,_H2O:SLP,_H2O:SD,_H2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
,s,s,,,s,mol m__ s__,µmol m__ s__,µmol mol__,µmol mol__,Pa,Pa,mol m__ s__,mol m__ s__,mol m__ s__,mol m__ s__,W m__,¡C,¡C,kPa,%,kPa,kPa,kPa,W m__,W m__,W m__,W m__,,,,µmol s__,%,,%,µmol s__,µmol m__ s__,µmol m__ s__,,J/µmol,cm_,,,s,µmol mol__,µmol mol__,mmol mol__,mmol mol__,µmol s__,kPa,kPa,¡C,¡C,¡C,rpm,µmol m__ s__,µmol m__ s__,µmol m__ s__,,,¡C,,secs,,,µmol/mol,mmol/mol,µmol/mol,mmol/mol,%,%,µmol mol__,µmol mol__ min__,µmol mol__,,mmol mol__,mmol mol__ min__,mmol mol__,,,,,%,%,µmol/mol,mmol/mol,,µmol s__,µmol s__,¡C,¡C,¡C,¡C,¡C,%,%,%,¡C,µmol mol__,mmol mol__,%,%
1,1626542441,0,20210717 10:20:40,1,1626542433,0.000572682,2.573531466,420.0876774,340.0048902,34.19290306,42.24650188,0.05668999,2.402680321,0.055613878,0.034853646,237.7271732,25.20731478,24.37587742,3.06326905,69.83929593,2.054042604,2.941098671,1.009226446,-25.25527765,-87.78764336,-7.653866677,117.0303855,0.019730749,-0.442475545,4.786769526,0,0,1,0,53690.63803,1500.007097,1264.505961,0.842999986,0.188000042,9,0.11,0: Broadleaf,1626542433,420.0876774,423.705871,20.42483871,19.70356129,699.9894516,100.4659355,0.099980042,23.69815484,24.37587742,999.9,9995.322581,606.4832581,0,1500.007097,0.899999355,0.100000606,22,32388.94194,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-3.651180488,0.584227735,0.065618197,0,0.731203707,-0.23056869,0.025501608,0,0,2,0/2,100,100,-0.332,0.221,3,749.675,684.406,26.2286,24.8365,29.9985,25.2477,25.2597,26.6575,29.9612,56.3693,26.23,423.692,19.8202,105.821,102.439
2,1626542551,110,20210717 10:22:30,1,1626542543,0.000190749,1.110548452,420.1038387,325.6843121,32.75431436,42.25015662,0.020142276,2.403308201,0.020004634,0.012515184,237.7282738,24.7828882,23.64561613,2.931808244,70.14358969,1.996336129,2.846070664,0.935472115,-8.412043006,-63.72823053,-5.519085574,160.0689147,0.019738848,-0.442657155,4.788375928,0,0,1,0,53810.61832,1500.013871,1264.5117,0.843000005,0.188000059,9,0.11,0: Broadleaf,1626542543,420.1038387,421.6348387,19.85006774,19.60966774,699.9442581,100.4709355,0.099810916,23.15376129,23.64561613,999.9,9998.927419,601.4830968,0,1500.013871,0.899999194,0.100000784,21.01076129,32389.0871,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-1.535670732,-0.00380676,0.033506886,1,0.246534073,-0.111678355,0.01232521,0,1,2,1/2,100,100,-0.332,0.221,3,748.091,685.618,26.2288,24.3397,29.9987,24.7638,24.7763,26.5785,29.9267,57.5061,26.23,421.736,19.6477,105.893,102.502
3,1626542698,257.5,20210717 10:24:58,2,1626542690,0.001261394,5.568016505,419.7900323,340.5814032,34.25203706,42.21799431,0.126672497,2.404451958,0.12143642,0.076350023,237.7268564,24.62249349,24.28385161,3.046423914,70.50812355,2.028137499,2.876459331,1.018286415,-55.62749444,-123.7039408,-10.75228788,47.64313322,0.019753604,-0.44298807,4.791302679,5,1,1,0,53817.21589,1500.005161,1264.504418,0.843000045,0.18800002,9,0.11,0: Broadleaf,1626542690,419.7900323,427.6296129,20.16656452,18.5775,700.0098387,100.4692903,0.100020687,23.32955806,24.28385161,999.9,10006.56613,603.6156452,0,1500.005161,0.899999903,0.100000145,22,32388.9,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-7.838417073,0.039862369,0.01988361,1,1.593320244,-0.062399791,0.0085502,1,2,2,2/2,100,100,-0.332,0.221,3,735.508,685.195,26.2297,23.8345,29.9991,24.2045,24.214,26.9245,33.0523,58.6602,26.23,427.723,18.5904,105.978,102.574
4,1626542904,463,20210717 10:28:23,2,1626542896,0.000439745,2.631924697,420.060871,308.3703965,31.01119798,42.24332484,0.040470626,2.403967409,0.039919233,0.024998431,237.7262408,24.60169423,24.33736774,3.056210051,69.86674331,1.976119788,2.828412625,1.080090262,-19.39275033,-166.7355342,-14.47903503,37.11892122,0.019747352,-0.442847864,4.790062692,5,1,1,0,53851.42931,1500.001613,1264.501326,0.842999978,0.187999993,9,0.11,0: Broadleaf,1626542896,420.060871,423.6821935,19.65021935,19.09595484,700.0149355,100.4647419,0.100027987,23.05085484,24.33736774,999.9,10003.85194,606.8693548,0,1500.001613,0.9,0.099999974,21,32388.85161,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-3.611218049,-0.091088153,0.026009325,1,0.551937707,0.041404516,0.004291923,1,2,2,2/2,100,100,-0.332,0.221,3,736.453,685.617,26.2298,23.4097,29.9997,23.6757,23.6751,26.7621,29.3663,58.2898,26.23,423.534,19.1221,106.043,102.63
5,1626543083,642.5,20210717 10:31:23,3,1626543075,0.00114668,4.604123532,419.6728065,346.5954001,34.85723163,42.20665427,0.114100296,2.404035891,0.109832311,0.069015252,237.7252705,24.66208033,24.21495806,3.03386615,69.87038474,2.010214412,2.877062177,1.023651738,-50.5685717,-114.3036319,-9.93364812,62.9194188,0.019748235,-0.442867678,4.790237934,15,2,1,0,53802.5833,1499.995161,1264.495947,0.843000017,0.188000026,9,0.11,0: Broadleaf,1626543075,419.6728065,426.2110968,19.98813548,18.54330645,700.0023226,100.4703871,0.099994458,23.33302903,24.21495806,999.9,10003.73742,610.4848387,0,1499.995161,0.89999971,0.1000003,21,32388.68065,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-6.537504634,0.185068432,0.039216165,0,1.441452195,0.081497561,0.008089314,1,1,2,1/2,100,100,-0.332,0.221,3,723.385,686.169,26.2301,23.1377,29.9994,23.3279,23.3153,26.9214,31.3584,61.128,26.23,426.365,18.5808,106.084,102.679
6,1626543182,741.5,20210717 10:33:02,3,1626543174,0.001546397,7.67519547,418.9249355,331.6577522,33.35349964,42.12961281,0.158346019,2.404094014,0.150253605,0.094600793,237.7246257,24.69422784,24.29122258,3.047770164,70.19813361,2.038929635,2.904535391,1.00884053,-68.19609225,-103.7762494,-9.029196297,56.7230878,0.019748985,-0.442884496,4.79038667,5,1,1,0,53775.86508,1499.99129,1264.492619,0.842999974,0.188000011,9,0.11,0: Broadleaf,1626543174,418.9249355,429.6260968,20.27453871,18.3266,699.9910968,100.4660968,0.099921723,23.49053871,24.29122258,999.9,10004.54452,605.9472581,0,1499.99129,0.899999742,0.100000219,22,32388.60323,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-10.69828293,-0.043354704,0.024875798,1,1.949387073,7.83972E-05,0.011207747,1,2,2,2/2,100,100,-0.332,0.221,3,736.18,686.629,26.2307,22.9894,29.9996,23.1543,23.1397,27.1303,32.2226,62.3668,26.23,430.297,18.328,106.112,102.702
7,1626543325,884,20210717 10:35:24,3,1626543317,2.28966E-05,-0.427818712,420.2373871,691.8053942,69.56879941,42.25958735,0.002447328,2.403008656,0.002445283,0.001528485,237.7239592,25.4633919,23.83924194,2.966174632,69.2830547,2.048037414,2.956043758,0.918137218,-1.00973965,-7.3681088,-0.640842088,228.7052686,0.019734984,-0.442570509,4.787609531,2,0,1,0,53686.35028,1499.986774,1264.488891,0.843000027,0.188000038,9,0.11,0: Broadleaf,1626543317,420.2373871,419.6997097,20.36607419,20.33723548,700.0052903,100.4612258,0.100001374,23.78236774,23.83924194,999.9,9997.936452,633.1666452,0,1499.986774,0.899999581,0.100000435,22.98790323,32388.51935,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,0.541620732,-0.259424007,0.072027647,0,0.025802242,0.026321051,0.019360646,1,1,2,1/2,100,100,-0.332,0.221,3,739.618,689.475,26.2327,22.9454,30.0003,23.0363,23.0232,26.6558,24.9284,67.1921,26.23,419.71,20.3034,106.12,102.704
8,1626543492,1051,20210717 10:38:11,4,1626543484,0.001534846,7.354460209,419.6780645,330.1639302,33.20156632,42.20318399,0.147849351,2.40439379,0.140769094,0.088588313,237.7251171,25.29960253,25.02087419,3.183636853,70.26097503,2.116085153,3.011750338,1.0675517,-67.68670511,-120.2738126,-10.53387172,39.23072769,0.019752853,-0.442971238,4.791153819,3,0,1,0,53676.7781,1499.994516,1264.495385,0.843000005,0.187999988,9,0.11,0: Broadleaf,1626543484,419.6780645,429.962,21.04283226,19.11098065,699.9986774,100.4609032,0.099949377,24.09301935,25.02087419,999.9,10007.02129,606.6213871,0,1499.994516,0.900000194,0.099999819,23,32388.66452,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-10.29103659,0.252378397,0.045029956,0,1.926547805,0.048932195,0.01727073,1,1,2,1/2,100,100,-0.332,0.221,3,738.384,687.025,26.2303,23.056,30.0002,23.0692,23.0387,27.1998,31.1613,74.5642,26.23,430.137,19.0582,106.1,102.696
9,1626543666,1225,20210717 10:41:05,4,1626543658,0.000555913,2.316898952,419.9683548,344.2668452,34.62011127,42.23279523,0.054307445,2.403149257,0.053319219,0.033411793,237.725149,25.50549259,24.64965806,3.113866457,69.9030025,2.09253674,2.99348621,1.021329717,-24.51577034,-85.24077088,-7.451672638,120.5169351,0.019736798,-0.442611178,4.787969256,2,0,1,0,53653.24783,1499.995161,1264.495842,0.842999947,0.187999945,9,0.11,0: Broadleaf,1626543658,419.9683548,423.2473871,20.80845484,20.10858387,700.0017742,100.461871,0.099980284,23.99172581,24.64965806,999.9,9998.790968,610.0064839,0,1499.995161,0.900000548,0.09999941,23,32388.70968,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-3.276556098,-0.249845226,0.052379089,0,0.69334239,0.139788376,0.0141678,0,0,2,0/2,100,100,-0.332,0.221,3,739.735,687.164,26.231,23.0604,30.0001,23.0625,23.0328,26.881,27.5768,78.2338,26.23,423.263,20.0287,106.101,102.695
10,1626543835,1394.5,20210717 10:43:55,5,1626543827,0.001136093,6.549113313,419.7342581,311.7716595,31.35395355,42.21143272,0.106422623,2.402788459,0.102697668,0.064509771,237.7256599,25.30619668,25.04676452,3.188553522,70.40523291,2.105312629,2.990278622,1.083240894,-50.101685,-138.9804447,-12.17466153,36.46886865,0.019732144,-0.442506821,4.787046176,9,1,1,0,53644.45176,1499.998065,1264.498365,0.842999998,0.187999974,9,0.11,0: Broadleaf,1626543827,419.7342581,428.7678387,20.93441935,19.50427742,699.9852581,100.467129,0.099912874,23.97388065,25.04676452,999.9,9995.910323,601.1096452,0,1499.998065,0.900000355,0.099999655,23,32388.75806,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-9.037611463,0.118436237,0.037377635,0,1.417040244,0.135935958,0.025710001,0,0,2,0/2,100,100,-0.332,0.221,3,730.619,688.512,26.2287,23.0569,29.9997,23.0609,23.0228,27.1714,30.4959,83.5916,26.23,428.942,19.532,106.095,102.701
11,1626543988,1547,20210717 10:46:27,5,1626543980,0.000799914,3.29998028,419.9137097,342.9934873,34.49426303,42.22999703,0.076669051,2.402528102,0.074714838,0.046868175,237.7251998,25.39569527,24.74452258,3.131567973,69.71821945,2.082773822,2.98741683,1.048794151,-35.2762196,-101.881515,-8.911444785,91.65602044,0.019728786,-0.442431523,4.786380107,3,0,1,0,53638.59893,1499.995161,1264.495918,0.842999998,0.187999974,9,0.11,0: Broadleaf,1626543980,419.9137097,424.5884194,20.71004839,19.70288387,699.9980645,100.4682903,0.099983729,23.95794516,24.74452258,999.9,9994.093871,605.7017097,0,1499.995161,0.900000355,0.099999655,23.73387742,32388.67742,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-4.652500244,-0.481919791,0.052156295,0,0.99666361,0.191924864,0.019249001,0,0,2,0/2,100,100,-0.332,0.221,3,738.284,690.698,26.2303,22.8778,29.9998,22.9195,22.8878,26.9698,29.2556,85.3067,26.23,424.746,19.7739,106.13,102.734
12,1626544111,1670.1,20210717 10:48:30,5,1626544103,4.91946E-05,-0.271612065,420.0570645,503.4655901,50.6320787,42.24392445,0.004781175,2.402999874,0.004773374,0.002984059,237.7241246,25.74325296,24.57228065,3.099492819,69.48014469,2.089785167,3.007744408,1.009707653,-2.169479967,-64.96081439,-5.679216928,164.9146134,0.019734871,-0.442567969,4.787587061,3,0,1,0,53634.04969,1499.987742,1264.489773,0.843000071,0.188000037,9,0.11,0: Broadleaf,1626544103,420.0570645,419.7344194,20.78000645,20.71807097,700.0036452,100.467129,0.099979629,24.07084839,24.57228065,999.9,9997.291613,627.199871,0,1499.987742,0.899999774,0.1000003,24,32388.53226,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,0.329094878,-0.089887568,0.019919827,1,0.066685795,-0.115326987,0.012590039,0,1,2,1/2,100,100,-0.332,0.221,3,738.819,693.52,26.2312,22.7963,30,22.8364,22.8099,26.7407,25.8651,91.4946,26.23,419.735,20.7901,106.14,102.739
13,1626544286,1845.1,20210717 10:51:25,6,1626544278,0.003274655,13.69078589,419.4368065,336.5409359,33.844837,42.18140747,0.314463703,2.402584613,0.284182813,0.180088211,237.7234454,25.23740128,25.59650968,3.294530231,69.90819551,2.16716115,3.10001014,1.127369082,-144.4122844,-132.3050579,-11.65826868,-50.65216552,0.019729515,-0.442447866,4.786524677,2,0,1,0,53529.22438,1499.983548,1264.486139,0.843000005,0.188000041,9,0.11,0: Broadleaf,1626544278,419.4368065,438.805129,21.54947419,17.42994516,700.002129,100.4667742,0.100002071,24.57507097,25.59650968,999.9,9994.613871,599.1972258,0,1499.983548,0.899999452,0.100000535,25,32388.44839,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-19.30331463,-1.172395819,0.118334278,0,4.08434439,0.607192265,0.063526269,0,0,2,0/2,100,100,-0.332,0.221,3,739.138,687.888,26.232,22.819,30.0003,22.8313,22.8032,27.6898,37.4549,90.6087,26.23,439.159,17.4926,106.138,102.747
14,1626544401,1960.6,20210717 10:53:21,6,1626544393,0.003284001,10.18341628,419.9536129,356.5755604,35.86155839,42.2356232,0.315791688,2.404237244,0.28528673,0.18079567,237.7241137,25.60266307,25.84543871,3.343520788,69.9837375,2.217821154,3.169052173,1.125699634,-144.8244291,-116.859139,-10.32216202,-34.28161636,0.019750833,-0.442925939,4.790753201,1,0,1,0,53518.48861,1499.988387,1264.490198,0.842999992,0.187999966,9,0.11,0: Broadleaf,1626544393,419.9536129,434.8197097,22.05204839,17.92288065,700.0014839,100.4721613,0.099954058,24.94386774,25.84543871,999.9,10004.87677,602.5013548,0,1499.988387,0.900000452,0.099999555,25,32388.55806,1626542007,10:13:26,1,-0.332,0.221,417,22,0.23,0.21,-14.85258049,-0.20731777,0.031261589,0,4.101866098,0.532026899,0.058526647,0,0,2,0/2,100,100,-0.332,0.221,3,741.226,688.494,26.2302,22.9516,30.0005,22.9328,22.904,27.4767,34.8284,89.4943,26.23,435.011,17.9295,106.11,102.727
