"TOA5","CR1000_3","CR1000","79863","CR1000.Std.29","CPU:greenhouse_met2.CR1","36820","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2021-06-02 00:00:00",0,12.67
"2021-06-03 00:00:00",1,12.67
"2021-06-03 00:00:00",1,12.67
"2021-06-04 00:00:00",2,12.66
"2021-06-05 00:00:00",3,12.66
"2021-06-06 00:00:00",4,12.65
"2021-06-07 00:00:00",5,12.65
"2021-06-08 00:00:00",6,12.65
"2021-06-03 00:00:00",1,12.67
"2021-06-04 00:00:00",2,12.66
"2021-06-05 00:00:00",3,12.66
"2021-06-06 00:00:00",4,12.65
"2021-06-07 00:00:00",5,12.65
"2021-06-08 00:00:00",6,12.65
"2021-06-09 00:00:00",7,12.63
"2021-06-10 00:00:00",8,12.64
"2021-06-03 00:00:00",1,12.67
"2021-06-04 00:00:00",2,12.66
"2021-06-05 00:00:00",3,12.66
"2021-06-06 00:00:00",4,12.65
"2021-06-07 00:00:00",5,12.65
"2021-06-08 00:00:00",6,12.65
"2021-06-09 00:00:00",7,12.63
"2021-06-10 00:00:00",8,12.64
"2021-06-11 00:00:00",9,12.63
"2021-06-03 00:00:00",1,12.67
"2021-06-04 00:00:00",2,12.66
"2021-06-05 00:00:00",3,12.66
"2021-06-06 00:00:00",4,12.65
"2021-06-07 00:00:00",5,12.65
"2021-06-08 00:00:00",6,12.65
"2021-06-09 00:00:00",7,12.63
"2021-06-10 00:00:00",8,12.64
"2021-06-11 00:00:00",9,12.63
"2021-06-12 00:00:00",10,12.67
"2021-06-13 00:00:00",11,12.61
"2021-06-14 00:00:00",12,12.58
"2021-06-03 00:00:00",1,12.67
"2021-06-04 00:00:00",2,12.66
"2021-06-05 00:00:00",3,12.66
"2021-06-06 00:00:00",4,12.65
"2021-06-07 00:00:00",5,12.65
"2021-06-08 00:00:00",6,12.65
"2021-06-09 00:00:00",7,12.63
"2021-06-10 00:00:00",8,12.64
"2021-06-11 00:00:00",9,12.63
"2021-06-12 00:00:00",10,12.67
"2021-06-13 00:00:00",11,12.61
"2021-06-14 00:00:00",12,12.58
"2021-06-15 00:00:00",13,12.56
"2021-06-16 00:00:00",14,12.56
"2021-06-17 00:00:00",15,12.55
"2021-06-18 00:00:00",16,12.54
"2021-06-19 00:00:00",17,12.53
"2021-06-20 00:00:00",18,12.52
"2021-06-21 00:00:00",19,12.51
