Serial Number:,PSY1E10F
APP Serial #:,030003EA
Head Serial #:,1897
App Ver:,R1-6-2
COM Ver:,R2-5-0
Instrument Name:,Gamboa PSY 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,0,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
13/07/2021,12:59:45,15.73,-0.27,4.20,-1.52,4.19,26.60 ,present ,12.62 ,95.40 ,
13/07/2021,13:10:01,15.60,-0.09,4.42,-1.59,4.19,23.90 ,present ,12.61 ,88.80 ,
13/07/2021,13:20:00,15.75,0.03,4.46,-1.57,4.19,22.80 ,present ,12.61 ,84.90 ,
13/07/2021,13:30:00,15.87,0.12,4.65,-1.62,4.19,22.30 ,present ,12.59 ,82.20 ,
13/07/2021,13:40:00,16.03,0.01,4.79,-1.68,4.19,22.10 ,present ,12.61 ,80.10 ,
13/07/2021,13:50:00,16.24,0.17,5.04,-1.73,4.19,22.10 ,present ,12.60 ,78.90 ,
13/07/2021,14:00:00,16.53,0.30,5.05,-1.70,4.19,22.10 ,present ,12.59 ,77.69 ,
13/07/2021,14:10:00,16.65,0.06,4.87,-1.66,4.19,22.20 ,present ,12.58 ,76.19 ,
13/07/2021,14:20:00,16.75,-0.09,4.75,-1.64,4.19,21.70 ,present ,12.61 ,75.30 ,
13/07/2021,14:30:00,16.81,0.00,4.87,-1.66,4.19,21.60 ,present ,12.60 ,74.40 ,
13/07/2021,14:40:00,16.88,-0.10,4.92,-1.69,4.19,21.60 ,present ,12.59 ,73.50 ,
13/07/2021,14:50:00,16.99,-0.03,4.91,-1.67,4.19,21.60 ,present ,12.59 ,72.60 ,
13/07/2021,15:00:00,17.09,0.00,4.95,-1.67,4.19,21.80 ,present ,12.58 ,71.69 ,
13/07/2021,15:10:00,17.24,0.06,5.18,-1.74,4.19,21.80 ,present ,12.61 ,71.10 ,
13/07/2021,15:20:00,17.47,0.08,5.15,-1.71,4.19,21.70 ,present ,12.60 ,70.19 ,
13/07/2021,15:30:01,17.56,-0.01,5.01,-1.67,4.19,21.70 ,present ,12.60 ,69.60 ,
13/07/2021,15:40:01,17.74,0.15,5.40,-1.77,4.19,21.40 ,present ,12.59 ,68.69 ,
13/07/2021,15:50:01,17.88,0.11,5.28,-1.72,4.19,21.10 ,present ,12.59 ,68.10 ,
13/07/2021,16:00:01,17.95,-0.04,5.25,-1.73,4.19,20.90 ,present ,12.58 ,67.19 ,
13/07/2021,16:10:01,18.03,-0.02,5.21,-1.71,4.19,20.60 ,present ,12.58 ,67.19 ,
13/07/2021,16:20:01,18.06,-0.06,5.04,-1.66,4.19,20.50 ,present ,12.61 ,66.00 ,
13/07/2021,16:30:01,18.00,-0.42,4.74,-1.61,4.19,20.40 ,present ,12.60 ,65.69 ,
13/07/2021,16:40:00,17.88,-0.52,4.62,-1.59,4.19,20.20 ,present ,12.60 ,65.10 ,
13/07/2021,16:50:00,17.76,-0.57,4.45,-1.54,4.19,20.10 ,present ,12.59 ,64.50 ,
13/07/2021,17:00:00,17.63,-0.71,4.42,-1.56,4.19,19.79 ,present ,12.59 ,64.19 ,
13/07/2021,17:10:01,17.49,-0.72,4.29,-1.52,4.19,19.50 ,present ,12.59 ,63.90 ,
13/07/2021,17:20:01,17.34,-0.59,4.34,-1.53,4.19,19.29 ,present ,12.58 ,63.00 ,
13/07/2021,17:30:00,17.25,-0.65,4.30,-1.53,4.19,19.10 ,present ,12.58 ,62.70 ,
13/07/2021,17:40:00,17.15,-0.67,4.26,-1.52,4.19,19.10 ,present ,12.58 ,62.10 ,
13/07/2021,17:50:01,16.99,-0.60,4.23,-1.51,4.19,18.70 ,present ,12.58 ,62.10 ,
13/07/2021,18:00:00,16.87,-0.72,4.26,-1.55,4.19,18.50 ,present ,12.57 ,61.80 ,
13/07/2021,18:10:00,16.75,-0.63,4.20,-1.52,4.19,18.40 ,present ,12.57 ,61.20 ,
13/07/2021,18:20:00,16.63,-0.70,4.20,-1.53,4.19,18.29 ,present ,12.57 ,61.20 ,
13/07/2021,18:30:00,16.51,-0.75,4.13,-1.52,4.19,18.10 ,present ,12.60 ,60.60 ,
13/07/2021,18:40:00,16.35,-0.79,4.07,-1.51,4.19,18.00 ,present ,12.60 ,60.60 ,
13/07/2021,18:50:00,16.18,-0.74,4.03,-1.50,4.19,17.90 ,present ,12.59 ,60.00 ,
13/07/2021,19:00:01,16.02,-0.81,3.98,-1.50,4.19,17.70 ,present ,12.60 ,60.30 ,
13/07/2021,19:10:00,15.86,-0.63,4.06,-1.52,4.19,17.40 ,present ,12.59 ,59.70 ,
