Serial Number:,PSY1E10S
APP Serial #:,0300039A
Head Serial #:,1864
App Ver:,R1-6-2
COM Ver:,R2-5-0
Instrument Name:,PSY1E10S_1864 
Instrument Comment:,27/03/2018Acklab 
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,15,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
13/07/2021,11:40:00,14.89,-3.51,4.39,-2.01,0.25,-3.81,-0.23,-0.49,4.20,37.30 ,present ,12.63 ,123.00 ,
13/07/2021,11:50:00,14.85,-3.82,4.51,-2.10,0.25,-3.81,-0.16,-0.53,4.20,34.00 ,present ,12.66 ,108.90 ,
13/07/2021,12:00:00,14.89,-3.85,4.51,-2.10,0.25,-3.81,-0.15,-0.54,4.20,32.09 ,present ,12.61 ,102.30 ,
13/07/2021,12:10:00,14.98,-4.34,4.66,-2.22,0.25,-3.81,-0.23,-0.60,4.20,31.30 ,present ,12.67 ,97.50 ,
13/07/2021,12:20:00,15.12,-7.30,4.63,-2.61,0.25,-3.81,-0.19,-1.02,4.20,31.00 ,present ,12.66 ,95.10 ,
13/07/2021,12:30:00,15.17,-23.64,4.68,-4.92,0.25,-3.81,-0.39,-3.31,4.20,30.40 ,present ,12.66 ,91.50 ,
13/07/2021,12:40:00,15.24,-8.19,4.73,-2.77,0.25,-3.81,-0.28,-1.14,4.20,30.50 ,present ,12.65 ,90.30 ,
13/07/2021,12:50:00,15.29,-8.08,4.76,-2.76,0.25,-3.81,-0.31,-1.13,4.20,30.40 ,present ,12.64 ,88.80 ,
13/07/2021,13:00:00,15.39,-18.16,4.78,-4.17,0.25,-3.81,-0.23,-2.54,4.20,29.90 ,present ,12.66 ,86.10 ,
13/07/2021,13:10:01,15.41,-16.64,5.01,-4.04,0.25,-3.81,-0.21,-2.33,4.20,30.40 ,present ,12.61 ,85.20 ,
13/07/2021,13:20:01,15.65,-1.99,4.96,-1.95,0.25,-3.81,-0.18,-0.27,4.20,30.70 ,present ,12.60 ,83.70 ,
13/07/2021,13:30:01,15.81,-6.13,5.13,-2.58,0.25,-3.81,-0.20,-0.85,4.20,31.30 ,present ,12.63 ,83.10 ,
13/07/2021,13:40:01,15.96,-6.63,5.30,-2.70,0.25,-3.81,-0.18,-0.92,4.20,31.40 ,present ,12.64 ,83.70 ,
13/07/2021,13:50:01,16.11,-3.98,5.43,-2.36,0.25,-3.81,0.01,-0.55,4.20,32.50 ,present ,12.63 ,82.80 ,
13/07/2021,14:00:00,16.53,-1.51,5.45,-2.00,0.25,-3.81,-0.04,-0.21,4.20,33.40 ,present ,12.63 ,83.10 ,
13/07/2021,14:10:01,16.65,-0.96,5.28,-1.86,0.25,-3.81,-0.21,-0.13,4.20,33.70 ,present ,12.63 ,82.20 ,
13/07/2021,14:20:01,16.78,-1.72,5.20,-1.93,0.25,-3.81,-0.32,-0.24,4.20,33.09 ,present ,12.66 ,81.60 ,
13/07/2021,14:30:00,16.87,-1.40,5.37,-1.93,0.25,-3.81,-0.15,-0.19,4.20,32.90 ,present ,12.61 ,80.69 ,
13/07/2021,14:40:01,16.92,-1.08,5.42,-1.90,0.25,-3.81,-0.22,-0.15,4.20,33.09 ,present ,12.61 ,80.10 ,
13/07/2021,14:50:01,17.06,-1.43,5.30,-1.90,0.25,-3.81,-0.40,-0.20,4.20,34.09 ,present ,12.61 ,80.10 ,
13/07/2021,15:00:00,17.21,-1.04,5.33,-1.85,0.25,-3.81,-0.33,-0.14,4.20,34.80 ,present ,12.61 ,80.40 ,
13/07/2021,15:10:01,17.24,-0.69,5.47,-1.84,0.25,-3.81,-0.41,-0.09,4.20,36.09 ,present ,12.61 ,80.10 ,
13/07/2021,15:20:00,17.56,-1.21,5.47,-1.90,0.25,-3.81,-0.37,-0.16,4.20,37.00 ,present ,12.62 ,81.00 ,
13/07/2021,15:30:01,17.59,-1.60,5.19,-1.86,0.25,-3.81,-0.46,-0.22,4.20,37.09 ,present ,12.61 ,79.80 ,
13/07/2021,15:40:00,17.68,-0.89,5.49,-1.85,0.25,-3.81,-0.39,-0.12,4.20,37.50 ,present ,12.61 ,80.40 ,
13/07/2021,15:50:00,17.87,-1.18,5.41,-1.85,0.25,-3.81,-0.23,-0.16,4.20,36.80 ,present ,12.63 ,78.00 ,
13/07/2021,16:00:01,17.92,-1.46,5.23,-1.83,0.25,-3.81,-0.32,-0.20,4.20,35.30 ,present ,12.65 ,75.90 ,
13/07/2021,16:10:00,17.90,-1.31,5.32,-1.84,0.25,-3.81,-0.39,-0.18,4.20,33.90 ,present ,12.63 ,74.10 ,
13/07/2021,16:20:00,17.92,-1.38,5.34,-1.85,0.25,-3.81,-0.25,-0.19,4.20,33.09 ,present ,12.62 ,72.90 ,
13/07/2021,16:30:01,17.88,-1.86,5.01,-1.82,0.25,-3.81,-0.69,-0.25,4.20,32.50 ,present ,12.62 ,71.69 ,
13/07/2021,16:40:00,17.81,-2.06,4.90,-1.81,0.25,-3.81,-0.71,-0.28,4.20,31.80 ,present ,12.64 ,70.80 ,
13/07/2021,16:50:00,17.65,-2.07,4.83,-1.80,0.25,-3.81,-0.75,-0.28,4.20,30.80 ,present ,12.60 ,70.19 ,
13/07/2021,17:00:01,17.52,-2.27,4.82,-1.83,0.25,-3.81,-0.76,-0.31,4.20,30.30 ,present ,12.63 ,69.00 ,
13/07/2021,17:10:00,17.38,-2.66,4.61,-1.83,0.25,-3.81,-0.86,-0.37,4.20,29.60 ,present ,12.63 ,68.69 ,
13/07/2021,17:20:00,17.23,-2.34,4.73,-1.83,0.25,-3.81,-0.71,-0.32,4.20,29.60 ,present ,12.62 ,67.50 ,
