Serial Number:,PSY1E10T
APP Serial #:,030003E2
Head Serial #:,1884
App Ver:,R1-6-2
COM Ver:,R2-5-0
Instrument Name:,PSY1E10T_1884 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,0,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
13/07/2021,12:37:23,15.68,-0.49,4.14,-1.60,0.17,-3.49,-0.17,-0.06,4.00,57.20 ,present ,12.65 ,285.00 ,
13/07/2021,12:40:01,15.71,-0.63,4.10,-1.61,0.17,-3.49,-0.14,-0.08,4.00,56.50 ,present ,12.66 ,282.29 ,
13/07/2021,12:50:00,15.77,-0.37,4.13,-1.58,0.17,-3.49,-0.16,-0.05,4.02,53.10 ,present ,12.68 ,279.60 ,
13/07/2021,13:00:01,15.85,-0.51,4.12,-1.59,0.17,-3.49,-0.15,-0.07,4.03,51.80 ,present ,12.71 ,279.00 ,
13/07/2021,13:10:00,15.95,-0.32,4.25,-1.61,0.17,-3.49,-0.23,-0.04,4.09,55.20 ,present ,12.25 ,306.60 ,
13/07/2021,13:20:00,16.17,-0.48,4.29,-1.63,0.17,-3.49,-0.16,-0.06,4.05,56.90 ,present ,12.67 ,283.50 ,
13/07/2021,13:30:00,16.30,-0.22,4.38,-1.62,0.17,-3.49,-0.14,-0.03,4.06,53.90 ,present ,12.71 ,279.60 ,
13/07/2021,13:40:01,16.40,-0.06,4.46,-1.62,0.17,-3.49,-0.06,0.00,4.07,52.90 ,present ,12.71 ,278.70 ,
13/07/2021,13:50:00,16.48,0.08,4.56,-1.63,0.17,-3.49,-0.19,0.01,4.08,52.80 ,present ,12.72 ,280.20 ,
13/07/2021,14:00:00,16.81,0.15,4.62,-1.62,0.17,-3.49,-0.15,0.02,4.09,52.90 ,present ,12.70 ,278.40 ,
13/07/2021,14:10:00,16.91,-0.42,4.44,-1.63,0.17,-3.49,-0.17,-0.05,4.10,52.80 ,present ,12.70 ,278.10 ,
13/07/2021,14:20:01,17.11,-0.67,4.34,-1.62,0.17,-3.49,-0.21,-0.09,4.10,52.80 ,present ,12.70 ,278.40 ,
13/07/2021,14:30:00,17.17,-0.40,4.45,-1.62,0.17,-3.49,-0.26,-0.05,4.11,52.80 ,present ,12.71 ,279.00 ,
13/07/2021,14:40:00,17.25,-0.51,4.45,-1.63,0.17,-3.49,-0.28,-0.07,4.12,52.70 ,present ,12.73 ,277.50 ,
13/07/2021,14:50:00,17.39,-0.71,4.37,-1.62,0.17,-3.49,-0.29,-0.09,4.13,52.90 ,present ,12.70 ,278.10 ,
13/07/2021,15:00:01,17.44,-0.88,4.31,-1.62,0.17,-3.49,-0.32,-0.12,4.14,52.90 ,present ,12.73 ,277.50 ,
13/07/2021,15:10:00,17.44,-0.56,4.44,-1.63,0.17,-3.49,-0.19,-0.07,4.14,53.20 ,present ,12.71 ,279.90 ,
13/07/2021,15:20:00,17.72,-0.52,4.50,-1.63,0.17,-3.49,-0.28,-0.07,4.19,54.60 ,present ,12.11 ,306.60 ,
13/07/2021,15:30:00,17.81,-1.03,4.34,-1.63,0.17,-3.49,-0.25,-0.14,4.19,56.90 ,present ,12.50 ,306.60 ,
13/07/2021,15:40:00,17.92,-0.54,4.62,-1.66,0.17,-3.49,-0.17,-0.07,4.19,57.10 ,present ,12.67 ,306.29 ,
