Serial Number:,PSY1E40Z
APP Serial #:,0300094F
Head Serial #:,1960
App Ver:,R1-7-8
COM Ver:,R2-5-0
Instrument Name:,ICT PSYCHROMETER 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,15,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
13/07/2021,12:43:52,15.26,0.585,5.375,-1.95,0.38,-3.40,0.151,0.08,8.555,4.21,30.90 ,present ,12.59 ,54.60 ,
13/07/2021,12:50:00,15.16,0.406,5.181,-1.90,0.38,-3.40,-0.030,0.05,8.559,4.21,28.70 ,present ,12.62 ,49.50 ,
13/07/2021,13:00:00,15.21,0.374,5.271,-1.94,0.38,-3.40,-0.088,0.05,8.555,4.20,27.60 ,present ,12.63 ,50.70 ,
13/07/2021,13:10:00,15.20,0.487,5.381,-1.97,0.38,-3.40,0.017,0.06,8.555,4.20,27.30 ,present ,12.63 ,51.30 ,
13/07/2021,13:20:00,15.40,0.401,5.459,-1.99,0.38,-3.40,-0.176,0.05,8.548,4.21,27.60 ,present ,12.56 ,51.60 ,
13/07/2021,13:30:00,15.57,0.486,5.548,-2.00,0.38,-3.40,-0.072,0.06,8.544,4.21,27.90 ,present ,12.60 ,51.90 ,
13/07/2021,13:40:00,15.70,0.468,5.671,-2.04,0.38,-3.40,-0.138,0.06,8.536,4.21,28.50 ,present ,12.64 ,51.90 ,
13/07/2021,13:50:00,15.84,0.471,5.800,-2.08,0.38,-3.40,-0.121,0.06,8.533,4.21,29.20 ,present ,12.60 ,51.90 ,
13/07/2021,14:00:00,16.22,0.754,5.898,-2.05,0.38,-3.40,-0.026,0.10,8.518,4.21,30.20 ,present ,12.64 ,51.90 ,
13/07/2021,14:10:00,16.36,0.357,5.585,-1.98,0.38,-3.40,-0.152,0.04,8.514,4.21,30.10 ,present ,12.60 ,51.90 ,
13/07/2021,14:20:00,16.49,0.259,5.442,-1.93,0.38,-3.40,-0.178,0.03,8.510,4.21,29.70 ,present ,12.56 ,51.60 ,
13/07/2021,14:30:00,16.57,0.390,5.632,-1.97,0.38,-3.40,-0.169,0.05,8.506,4.21,29.60 ,present ,12.60 ,51.60 ,
13/07/2021,14:40:00,16.67,0.350,5.663,-1.98,0.38,-3.40,-0.023,0.04,8.503,4.21,29.50 ,present ,12.60 ,51.30 ,
13/07/2021,14:50:00,16.81,0.417,5.594,-1.94,0.38,-3.40,-0.021,0.05,8.495,4.21,29.60 ,present ,12.56 ,51.60 ,
13/07/2021,15:00:00,16.95,0.306,5.669,-1.97,0.38,-3.40,-0.191,0.04,8.491,4.21,29.70 ,present ,12.60 ,51.60 ,
13/07/2021,15:10:00,17.07,0.534,5.984,-2.05,0.38,-3.40,-0.045,0.07,8.488,4.21,29.70 ,present ,12.63 ,51.30 ,
13/07/2021,15:20:00,17.32,0.428,5.906,-2.01,0.38,-3.40,-0.161,0.05,8.476,4.21,29.70 ,present ,12.60 ,51.60 ,
13/07/2021,15:30:00,17.40,0.229,5.643,-1.94,0.38,-3.40,-0.255,0.03,8.473,4.21,29.40 ,present ,12.59 ,50.70 ,
13/07/2021,15:40:00,17.54,0.582,6.071,-2.04,0.38,-3.40,-0.100,0.08,8.469,4.21,29.40 ,present ,12.59 ,50.70 ,
13/07/2021,15:50:00,17.70,0.393,5.757,-1.94,0.38,-3.40,-0.146,0.05,8.462,4.21,29.20 ,present ,12.60 ,51.30 ,
13/07/2021,16:00:00,17.73,0.048,5.550,-1.91,0.38,-3.40,-0.210,0.00,8.462,4.21,28.90 ,present ,12.56 ,51.00 ,
13/07/2021,16:10:00,17.75,-0.049,5.375,-1.86,0.38,-3.40,-0.268,0.00,8.462,4.20,28.30 ,present ,12.56 ,51.00 ,
13/07/2021,16:20:00,17.75,-0.154,5.341,-1.86,0.38,-3.40,-0.370,-0.02,8.462,4.20,28.10 ,present ,12.60 ,51.30 ,
13/07/2021,16:30:00,17.74,-0.357,4.962,-1.75,0.38,-3.40,-0.240,-0.04,8.462,4.21,28.00 ,present ,12.60 ,51.30 ,
13/07/2021,16:40:00,17.68,-0.352,4.896,-1.73,0.38,-3.40,-0.425,-0.04,8.465,4.21,27.80 ,present ,12.60 ,51.30 ,
13/07/2021,16:50:00,17.62,-0.547,4.728,-1.70,0.38,-3.40,-0.383,-0.07,8.465,4.20,27.30 ,present ,12.60 ,51.00 ,
13/07/2021,17:00:00,17.51,-0.685,4.606,-1.68,0.38,-3.40,-0.456,-0.09,8.469,4.20,27.30 ,present ,12.63 ,51.30 ,
13/07/2021,17:10:00,17.42,-0.650,4.457,-1.62,0.38,-3.40,-0.422,-0.09,8.473,4.20,26.90 ,present ,12.56 ,51.30 ,
13/07/2021,17:20:00,17.31,-0.718,4.465,-1.64,0.38,-3.40,-0.427,-0.09,8.476,4.20,26.70 ,present ,12.63 ,51.30 ,
13/07/2021,17:30:00,17.24,-0.629,4.456,-1.63,0.38,-3.40,-0.356,-0.08,8.480,4.20,26.60 ,present ,12.63 ,51.30 ,
