Serial Number:,PSY1G502
APP Serial #:,0300085A
Head Serial #:,2670
App Ver:,R1-7-8
COM Ver:,R2-5-3
Instrument Name:,Jimi PSY 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,60,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
23/10/2020,14:14:55,21.27,-0.365,17.215,-4.82,1.00,-3.80,-0.495,-0.04,8.333,4.19,29.70 ,present ,11.18 ,64.50 ,
23/10/2020,15:35:49,21.59,-0.187,8.778,-2.30,1.00,-3.80,-0.660,-0.02,8.323,4.19,29.10 ,present ,11.10 ,63.90 ,
23/10/2020,16:55:58,21.11,-0.222,7.065,-1.84,1.00,-3.80,-0.560,-0.03,8.337,4.19,29.70 ,present ,11.10 ,64.19 ,
23/10/2020,18:02:17,21.27,-0.227,5.330,-1.32,1.00,-3.80,-0.581,-0.03,8.333,4.19,29.70 ,present ,10.96 ,63.90 ,
23/10/2020,18:58:20,21.11,-0.195,3.824,-0.88,1.00,-3.80,-0.468,-0.02,8.337,4.19,29.80 ,present ,11.24 ,63.60 ,
23/10/2020,19:53:33,21.21,-0.250,2.289,-0.44,1.00,-3.80,-0.658,-0.03,8.333,4.19,29.90 ,present ,11.21 ,63.90 ,
23/06/2021,12:31:25,22.28,-0.223,2.261,-0.48,0.61,-3.99,-0.569,-0.03,8.297,4.17,22.10 ,present ,USB ,USB ,
23/06/2021,14:30:19,21.98,-0.132,3.755,-0.88,0.61,-3.99,-0.533,-0.01,8.308,4.17,22.20 ,present ,USB ,USB ,
23/06/2021,16:05:54,22.17,-0.192,5.590,-1.38,0.61,-3.99,-0.444,-0.02,8.301,4.17,22.20 ,present ,USB ,USB ,
23/06/2021,16:31:51,21.95,-0.114,5.551,-1.37,0.61,-3.99,-0.475,-0.01,8.308,4.17,22.30 ,present ,USB ,USB ,
23/06/2021,18:00:21,22.22,-0.181,7.191,-1.82,0.61,-3.99,-0.446,-0.02,8.297,4.16,22.30 ,present ,USB ,USB ,
23/06/2021,19:32:59,22.41,-0.281,8.895,-2.28,0.61,-3.99,-0.521,-0.03,8.290,4.16,22.10 ,present ,USB ,USB ,
23/06/2021,21:05:38,22.32,-0.210,17.403,-4.57,0.61,-3.99,-0.548,-0.02,8.294,4.15,21.90 ,present ,USB ,USB ,
13/07/2021,09:30:00,13.83,-0.420,1.256,-0.43,0.31,-3.99,-0.723,-0.05,8.608,3.74,21.30 ,present ,USB ,USB ,
13/07/2021,10:00:00,14.13,0.072,1.385,-0.40,0.31,-3.99,-0.520,0.01,8.597,3.74,21.70 ,not present ,0.00 ,0.00 ,
13/07/2021,10:10:00,14.31,0.163,1.499,-0.42,0.31,-3.99,-0.279,0.02,8.589,3.74,21.80 ,not present ,0.00 ,0.00 ,
13/07/2021,10:20:00,14.40,0.438,1.708,-0.46,0.31,-3.99,-0.165,0.06,8.585,3.75,22.50 ,not present ,0.00 ,0.00 ,
13/07/2021,10:30:00,14.52,0.541,1.808,-0.47,0.31,-3.99,-0.162,0.07,8.582,3.75,22.80 ,not present ,0.00 ,0.00 ,
13/07/2021,10:40:00,14.56,0.477,1.828,-0.49,0.31,-3.99,-0.085,0.06,8.582,3.76,23.20 ,not present ,0.00 ,0.00 ,
13/07/2021,10:50:00,14.63,0.673,1.953,-0.50,0.31,-3.99,-0.012,0.09,8.578,3.76,23.60 ,not present ,0.00 ,0.00 ,
13/07/2021,11:00:00,14.68,0.662,2.036,-0.53,0.31,-3.99,0.010,0.09,8.578,3.76,23.40 ,not present ,0.00 ,0.00 ,
13/07/2021,11:10:00,14.73,0.854,2.159,-0.55,0.31,-3.99,0.021,0.12,8.574,3.77,24.20 ,not present ,0.00 ,0.00 ,
13/07/2021,11:20:00,14.83,1.009,2.323,-0.58,0.31,-3.99,0.208,0.14,8.570,3.77,24.00 ,not present ,0.00 ,0.00 ,
13/07/2021,11:30:00,14.90,0.985,2.426,-0.61,0.31,-3.99,0.265,0.13,8.566,3.77,24.40 ,not present ,0.00 ,0.00 ,
13/07/2021,11:40:00,14.95,1.042,2.514,-0.64,0.31,-3.99,0.307,0.14,8.566,3.78,24.00 ,not present ,0.00 ,0.00 ,
13/07/2021,11:50:00,15.04,0.884,2.676,-0.71,0.31,-3.99,0.328,0.12,8.563,3.78,24.10 ,not present ,0.00 ,0.00 ,
13/07/2021,12:00:00,15.19,0.951,2.886,-0.77,0.31,-3.99,0.629,0.13,8.559,3.78,24.80 ,not present ,0.00 ,0.00 ,
13/07/2021,12:10:00,15.33,1.022,2.937,-0.77,0.31,-3.99,0.471,0.14,8.551,3.78,25.00 ,not present ,0.00 ,0.00 ,
13/07/2021,12:20:00,15.47,0.913,2.967,-0.79,0.31,-3.99,0.307,0.12,8.548,3.78,25.50 ,not present ,0.00 ,0.00 ,
13/07/2021,12:30:00,15.59,0.739,3.075,-0.85,0.31,-3.99,0.422,0.10,8.544,3.78,25.70 ,not present ,0.00 ,0.00 ,
13/07/2021,12:40:00,15.72,0.868,3.116,-0.84,0.31,-3.99,0.392,0.12,8.536,3.80,27.50 ,present ,USB ,USB ,
13/07/2021,12:50:00,15.77,0.861,3.214,-0.87,0.31,-3.99,0.354,0.12,8.536,3.79,26.00 ,not present ,0.00 ,0.00 ,
13/07/2021,13:00:00,15.88,0.885,3.331,-0.90,0.31,-3.99,0.444,0.12,8.533,3.79,25.90 ,not present ,0.00 ,0.00 ,
13/07/2021,13:10:00,16.01,1.145,3.687,-0.98,0.31,-3.99,0.745,0.16,8.525,3.79,26.40 ,not present ,0.00 ,0.00 ,
13/07/2021,13:20:00,16.25,1.115,3.695,-0.97,0.31,-3.99,0.599,0.15,8.518,3.79,26.80 ,not present ,0.00 ,0.00 ,
13/07/2021,13:30:00,16.42,1.219,3.805,-0.99,0.31,-3.99,0.706,0.17,8.510,3.79,27.10 ,not present ,0.00 ,0.00 ,
13/07/2021,13:40:00,16.63,1.180,3.958,-1.03,0.31,-3.99,0.827,0.16,8.503,3.79,27.50 ,not present ,0.00 ,0.00 ,
13/07/2021,13:50:00,16.81,1.314,4.035,-1.03,0.31,-3.99,0.932,0.18,8.495,3.79,28.10 ,not present ,0.00 ,0.00 ,
13/07/2021,14:00:00,17.05,1.095,4.009,-1.04,0.31,-3.99,0.740,0.15,8.488,3.79,28.60 ,not present ,0.00 ,0.00 ,
13/07/2021,14:10:00,17.17,0.951,3.823,-1.00,0.31,-3.99,0.464,0.13,8.484,3.79,28.90 ,not present ,0.00 ,0.00 ,
13/07/2021,14:20:00,17.25,0.950,3.717,-0.96,0.31,-3.99,0.256,0.13,8.480,3.79,28.70 ,not present ,0.00 ,0.00 ,
13/07/2021,14:30:00,17.31,0.941,3.798,-0.99,0.31,-3.99,0.518,0.13,8.476,3.79,28.80 ,not present ,0.00 ,0.00 ,
13/07/2021,14:40:00,17.34,0.931,3.789,-0.99,0.31,-3.99,0.510,0.12,8.476,3.79,29.00 ,not present ,0.00 ,0.00 ,
13/07/2021,14:50:00,17.40,0.698,3.717,-0.99,0.31,-3.99,0.432,0.09,8.473,3.79,29.70 ,not present ,0.00 ,0.00 ,
13/07/2021,15:00:00,17.49,0.771,3.729,-0.98,0.31,-3.99,0.304,0.10,8.473,3.79,30.60 ,not present ,0.00 ,0.00 ,
13/07/2021,15:10:00,17.45,0.831,3.790,-0.99,0.31,-3.99,0.419,0.11,8.473,3.79,31.40 ,not present ,0.00 ,0.00 ,
13/07/2021,15:20:00,17.85,0.975,3.828,-0.97,0.31,-3.99,0.312,0.13,8.458,3.80,32.80 ,not present ,0.00 ,0.00 ,
13/07/2021,15:30:00,18.03,0.929,3.875,-0.98,0.31,-3.99,0.337,0.12,8.451,3.80,32.30 ,not present ,0.00 ,0.00 ,
13/07/2021,15:40:00,18.30,1.043,4.008,-1.00,0.31,-3.99,0.554,0.14,8.439,3.80,32.20 ,not present ,0.00 ,0.00 ,
13/07/2021,15:50:00,18.44,0.886,3.867,-0.97,0.31,-3.99,0.263,0.12,8.436,3.80,31.60 ,not present ,0.00 ,0.00 ,
13/07/2021,16:00:00,18.54,0.866,3.869,-0.97,0.31,-3.99,0.206,0.11,8.432,3.80,30.70 ,not present ,0.00 ,0.00 ,
13/07/2021,16:10:00,18.82,1.193,4.285,-1.04,0.31,-3.99,0.733,0.16,8.421,3.80,29.90 ,not present ,0.00 ,0.00 ,
13/07/2021,16:20:00,18.85,0.813,3.854,-0.96,0.31,-3.99,0.221,0.11,8.421,3.81,29.40 ,not present ,0.00 ,0.00 ,
13/07/2021,16:30:00,18.77,0.294,3.467,-0.92,0.31,-3.99,-0.216,0.04,8.425,3.81,29.00 ,not present ,0.00 ,0.00 ,
13/07/2021,16:40:00,18.68,0.169,3.301,-0.89,0.31,-3.99,-0.416,0.02,8.428,3.81,28.60 ,not present ,0.00 ,0.00 ,
13/07/2021,16:50:00,18.56,0.001,3.136,-0.87,0.31,-3.99,-0.471,0.00,8.432,3.81,28.20 ,not present ,0.00 ,0.00 ,
13/07/2021,17:00:00,18.46,0.016,3.075,-0.85,0.31,-3.99,-0.596,0.00,8.436,3.81,27.80 ,not present ,0.00 ,0.00 ,
