Serial Number:,PSY1GA0I
APP Serial #:,03000828
Head Serial #:,2641
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,Canogas PSY 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,0,seconds
Chamber Heating Schedule:,17:00 - 10:00
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
13/07/2021,12:04:19,14.55,0.540,4.939,-1.69,0.15,-3.80,-0.042,0.07,8.582,4.19,27.50 ,present ,12.67 ,56.10 ,
13/07/2021,12:10:00,14.60,0.139,4.911,-1.73,0.15,-3.80,-0.032,0.01,8.578,4.19,26.30 ,present ,12.66 ,54.60 ,
13/07/2021,12:20:00,14.69,0.235,4.931,-1.72,0.15,-3.80,-0.026,0.03,8.578,4.19,24.70 ,present ,12.66 ,55.20 ,
13/07/2021,12:30:00,14.68,0.218,5.009,-1.75,0.15,-3.80,-0.005,0.03,8.578,4.19,24.00 ,present ,12.67 ,55.50 ,
13/07/2021,12:40:00,14.76,-0.076,5.007,-1.79,0.15,-3.80,-0.104,-0.01,8.574,4.19,24.10 ,present ,12.67 ,55.80 ,
13/07/2021,12:50:00,14.87,-0.167,4.968,-1.78,0.15,-3.80,-0.161,-0.02,8.570,4.19,24.20 ,present ,12.67 ,55.50 ,
13/07/2021,13:00:00,15.00,-0.065,4.779,-1.69,0.15,-3.80,-0.153,0.00,8.563,4.19,24.30 ,present ,12.63 ,55.80 ,
13/07/2021,13:10:00,15.04,-0.072,5.196,-1.84,0.15,-3.80,0.063,-0.01,8.563,4.19,24.70 ,present ,12.64 ,56.10 ,
13/07/2021,13:20:00,15.30,-0.074,5.197,-1.82,0.15,-3.80,-0.079,-0.01,8.551,4.19,25.10 ,present ,12.67 ,56.10 ,
13/07/2021,13:30:00,15.48,0.378,5.319,-1.79,0.15,-3.80,0.019,0.05,8.548,4.19,25.80 ,present ,12.64 ,56.40 ,
13/07/2021,13:40:00,15.68,0.132,5.422,-1.84,0.15,-3.80,0.223,0.01,8.540,4.19,26.30 ,present ,12.64 ,56.40 ,
13/07/2021,13:50:00,15.86,0.316,5.699,-1.90,0.15,-3.80,0.190,0.04,8.533,4.19,26.90 ,present ,12.68 ,56.70 ,
13/07/2021,14:00:00,16.23,0.648,5.813,-1.87,0.15,-3.80,0.251,0.09,8.518,4.19,27.60 ,present ,12.64 ,56.70 ,
13/07/2021,14:10:00,16.37,-0.038,5.520,-1.85,0.15,-3.80,-0.012,0.00,8.514,4.19,27.50 ,present ,12.67 ,56.10 ,
13/07/2021,14:20:00,16.51,-0.225,5.242,-1.78,0.15,-3.80,-0.121,-0.03,8.506,4.19,27.50 ,present ,12.67 ,56.40 ,
