Date,Time,Tree_Number,Depth_cm,VWC_Percent
7/8/21,9:21,1,10,13.4
7/8/21,9:21,1,30,21.7
7/8/21,9:21,1,50,33.7
7/8/21,9:26,2,10,14.5
7/8/21,9:26,2,30,18.8
7/8/21,9:26,2,50,24.8
7/8/21,9:32,3,10,10.1
7/8/21,9:32,3,30,17.2
7/8/21,9:32,3,50,26.9
7/8/21,9:37,4,10,12.5
7/8/21,9:37,4,30,18.6
7/8/21,9:37,4,50,30.6
7/8/21,9:44,5,10,9.1
7/8/21,9:44,5,30,18.4
7/8/21,9:44,5,50,26.6
7/8/21,9:51,6,10,15.8
7/8/21,9:51,6,30,21.1
7/8/21,9:51,6,50,28.3
7/11/21,9:15,1,10,7.8
7/11/21,9:15,1,30,8.7
7/11/21,9:15,1,50,11.7
7/11/21,9:16,2,10,7.6
7/11/21,9:16,2,30,7.3
7/11/21,9:16,2,50,6.9
7/11/21,9:19,3,10,5.3
7/11/21,9:19,3,30,7.1
7/11/21,9:19,3,50,7.0
7/11/21,9:22,4,10,5.9
7/11/21,9:22,4,30,7.3
7/11/21,9:22,4,50,7.3
7/11/21,9:25,5,10,5.8
7/11/21,9:25,5,30,7.1
7/11/21,9:25,5,50,6.9
7/11/21,9:28,6,10,7.7
7/11/21,9:28,6,30,8.2
7/11/21,9:28,6,50,6.9
7/14/21,9:32,1,10,7.3
7/14/21,9:32,1,30,8.1
7/14/21,9:32,1,50,8.3
7/14/21,9:34,2,10,6.5
7/14/21,9:34,2,30,5.9
7/14/21,9:34,2,50,5.9
7/14/21,9:37,3,10,4.9
7/14/21,9:37,3,30,6.5
7/14/21,9:37,3,50,6.6
7/14/21,9:39,4,10,5.7
7/14/21,9:39,4,30,6.8
7/14/21,9:39,4,50,6.5
7/14/21,9:41,5,10,5.3
7/14/21,9:41,5,30,5.9
7/14/21,9:41,5,50,5.8
7/14/21,9:44,6,10,6.5
7/14/21,9:44,6,30,7.1
7/14/21,9:44,6,50,6.2
7/18/21,12:20,1,10,19.8
7/18/21,12:20,1,30,25.3
7/18/21,12:20,1,50,29.1
7/18/21,12:23,2,10,19.8
7/18/21,12:23,2,30,25.8
7/18/21,12:23,2,50,29.7
7/18/21,12:26,3,10,16.9
7/18/21,12:26,3,30,23.3
7/18/21,12:26,3,50,29.2
7/18/21,12:29,4,10,17.9
7/18/21,12:29,4,30,24.3
7/18/21,12:29,4,50,35.9
7/18/21,12:32,5,10,15.9
7/18/21,12:32,5,30,24.9
7/18/21,12:32,5,50,31.4
7/18/21,12:35,6,10,21.8
7/18/21,12:35,6,30,25.6
7/18/21,12:35,6,50,32.7
7/21/21,14:28,1,10,8.7
7/21/21,14:28,1,30,9.8
7/21/21,14:28,1,50,16.5
7/21/21,14:25,2,10,15.0
7/21/21,14:25,2,30,20.1
7/21/21,14:25,2,50,25.9
7/21/21,14:23,3,10,11.6
7/21/21,14:23,3,30,19.0
7/21/21,14:23,3,50,26.4
7/21/21,14:21,4,10,12.6
7/21/21,14:21,4,30,19.8
7/21/21,14:21,4,50,29.5
7/21/21,14:19,5,10,12.1
7/21/21,14:19,5,30,20.6
7/21/21,14:19,5,50,29.5
7/21/21,14:17,6,10,12.6
7/21/21,14:17,6,30,17.5
7/21/21,14:17,6,50,24.7
